R00248,C00014,C00025,-38.9,#
R00250,C00025,C00026,-95.5,#
R00251,C00025,C01879,6.9,#
R00253,C00025,C00064,-15.0,#
R00253,C00014,C00064,-15.0,#
R00254,C00025,C05829,54.9,#
R00256,C00025,C00064,11.4,#
R00256,C00014,C00064,11.4,#
R00257,C00025,C00064,27.8,#
R00257,C00003,C00857,27.8,#
R00258,C00025,C00026,0.2,#
R00258,C00022,C00041,0.2,#
R00259,C00010,C00024,27.4,#
R00259,C00025,C00624,-27.4,#
R00260,C00025,C00217,0.6,#
R00261,C00025,C00334,-25.0,#
R00262,C00025,C03618,7.4,#
R00264,C00026,C00433,35.2,#
R00265,C00010,C00091,-26.3,#
R00267,C00026,C00311,-6.4,#
R00267,C00011,C00311,-6.4,#
R00268,C00026,C05379,15.5,#
R00269,C00026,C00940,-0.3,#
R00270,C00026,C05572,41.3,#
R00271,C00010,C00024,28.4,#
R00271,C00026,C01251,-28.4,#
R00271,C00024,C01251,-28.4,#
R00272,C00026,C00232,-18.9,#
R00273,C00011,C00209,165.0,#
R00274,C00051,C00127,-310.0,#
R00277,C00018,C00647,96.7,#
R00278,C00018,C00627,111.0,#
R00279,C00026,C00217,96.1,#
R00281,C00003,C00004,?
R00282,C00005,C00006,?
R00283,C00002,C00008,?
R00286,C00029,C00167,-12.8,#
R00287,C00029,C00103,-29.6,#
R00287,C00029,C00105,-29.6,#
R00289,C00029,C00103,-0.0,#
R00291,C00029,C00052,2.9,#
R00292,C00015,C00029,-247.2,#
R00293,C00029,C04089,-56.1,#
R00294,C00533,C00887,-307.53,*
R00296,C00011,C00237,?
R00297,C00022,C00256,?
R00298,C00026,C03196,?
R00299,C00002,C00008,-17.3,#
R00299,C00031,C00092,-17.3,#
R00300,C00031,C00198,-3.4,#
R00301,C00031,C03107,-4.6,#
R00302,C00031,C02779,-126.4,#
R00303,C00031,C00092,9.1,#
R00304,C00031,C00103,16.6,#
R00305,C00031,C00198,?
R00306,C00031,C00185,12.9,#
R00306,C00031,C00185,12.9,#
R00307,C00031,C00095,-0.1,#
R00308,C00031,C00965,272.1,#
R00310,C00032,C02191,?
R00311,C00032,C00500,?
R00315,C00002,C00008,13.4,#
R00315,C00033,C00227,13.4,#
R00316,C00033,C05993,1169.21,*
R00317,C00033,C00227,39.8,#
R00318,C00033,C05682,82.3,#
R00319,C00033,C00186,497.7,#
R00320,C00033,C00227,24.0,#
R00321,C00033,C06244,22.8,#
R00322,C00020,C05993,1192.3,*
R00322,C00033,C05993,1192.3,*
R00324,C00022,C02132,57.2,#
R00324,C00033,C02132,57.2,#
R00325,C00022,C02614,-2.2,#
R00325,C00033,C02614,-2.2,#
R00326,C00033,C00084,?
R00327,C00031,C02655,28.4,#
R00327,C00033,C02655,28.4,#
R00328,C00035,C00144,-23.0,#
R00330,C00002,C00008,-2.5,#
